time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,Robot_ImpactVel_8,Robot_ImpactVel_9,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,Robot_CRI_8,Robot_CRI_9,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,Robot_modi_velocity_percentage8,Robot_modi_velocity_percentage9,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,Robot_PFLFlag_8,Robot_PFLFlag_9,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
22.000000,0.000000,79.882553,16.279924,41.639727,275.887844,272.690323,317.002706,315.541473,315.159890,316.558162,0.000000,0.286225,0.142285,0.070533,0.551515,0.498798,0.522911,0.468118,0.763519,0.910628,300.000000,300.000000,300.000000,300.000000,226.493501,230.858593,205.989338,228.912758,261.216722,126.272984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,317.002706,0.910628,126.272984,
23.000000,0.000000,17.780531,273.230295,260.554616,269.470298,279.650193,282.219695,280.831753,280.122941,281.420161,0.000000,0.124005,0.506434,0.308121,0.581327,0.503592,0.531714,0.469345,0.624204,0.716657,300.000000,300.000000,202.177015,300.000000,203.832842,197.477975,196.810149,217.671321,300.000000,223.992487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,282.219695,0.716657,196.810149,
24.000000,0.000000,3.768432,240.533956,242.640870,183.269433,181.100068,181.596615,181.459814,179.661849,179.561724,0.000000,0.050446,0.424737,0.229752,0.428508,0.315268,0.426557,0.303226,0.539338,0.617089,300.000000,300.000000,294.584955,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,242.640870,0.617089,294.584955,
25.000000,0.000000,2.194008,53.017926,54.161613,108.822406,108.436908,92.679264,93.213450,91.028862,88.218890,0.000000,0.044541,0.190736,0.066896,0.188933,0.108097,0.109290,0.010115,0.056463,0.153466,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.822406,0.190736,300.000000,
26.000000,0.000000,1.390761,7.691312,8.363268,9.783838,9.267755,9.906001,11.894847,12.296960,10.326393,0.000000,0.038471,0.059091,0.012655,0.102219,0.073379,0.093443,0.016541,0.149836,0.160941,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.296960,0.160941,300.000000,
27.000000,0.000000,2.677004,78.435251,76.807651,101.321750,102.312613,101.673886,102.241610,102.894305,102.415088,0.000000,0.046488,0.264247,0.117936,0.264743,0.129057,0.297424,0.103369,0.303698,0.365262,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.894305,0.365262,300.000000,
28.000000,0.000000,28.116813,207.515733,188.952506,224.873665,237.727686,246.348311,246.648176,247.546202,247.366191,0.000000,0.155192,0.472411,0.321680,0.403748,0.330766,0.539346,0.386210,0.591369,0.671513,300.000000,300.000000,280.464873,300.000000,300.000000,300.000000,258.929719,276.181201,300.000000,272.467055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,247.546202,0.671513,258.929719,
29.000000,0.000000,47.304548,163.302075,129.993644,228.561093,245.203512,264.724965,265.360775,266.667637,266.204421,0.000000,0.211981,0.407185,0.237512,0.336025,0.400525,0.556905,0.417701,0.606191,0.690629,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,238.448840,257.886153,300.000000,256.453832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,266.667637,0.690629,238.448840,
30.000000,0.000000,56.731571,65.300834,26.402268,203.779060,211.966955,241.669377,241.860078,242.407388,242.289534,0.000000,0.237499,0.293159,0.045412,0.159026,0.434356,0.538132,0.378055,0.588592,0.671114,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,258.202059,286.173906,300.000000,276.370735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,242.407388,0.671114,258.202059,
31.000000,0.000000,38.373960,19.539666,35.686879,139.055200,138.169011,159.670644,157.984721,158.339573,160.103886,0.000000,0.186192,0.126393,0.012775,0.097950,0.375440,0.445060,0.256145,0.500152,0.578071,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160.103886,0.578071,300.000000,
