time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,Robot_ImpactVel_8,Robot_ImpactVel_9,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,Robot_CRI_8,Robot_CRI_9,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,Robot_modi_velocity_percentage8,Robot_modi_velocity_percentage9,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,Robot_PFLFlag_8,Robot_PFLFlag_9,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
22.000000,0.000000,79.882553,16.279924,41.639727,275.887844,272.690323,317.002706,315.541473,315.159890,316.558162,0.000000,0.429338,0.213427,0.125952,0.827272,0.771160,0.869659,0.835924,1.145279,1.365942,300.000000,300.000000,300.000000,300.000000,127.707391,129.381129,115.055007,119.245068,68.455916,48.225999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,317.002706,1.365942,48.225999,
23.000000,0.000000,17.780531,273.230295,260.554616,269.470298,279.650193,282.219695,280.831753,280.122941,281.420161,0.000000,0.186008,0.877844,0.550216,0.871991,0.899272,0.902716,0.838116,0.936306,1.074985,300.000000,300.000000,113.544118,182.961915,114.706853,111.035982,110.639949,118.861091,125.613162,80.502037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,282.219695,1.074985,80.502037,
24.000000,0.000000,3.768432,240.533956,242.640870,183.269433,181.100068,181.596615,181.459814,179.661849,179.561724,0.000000,0.075670,0.637106,0.410271,0.642762,0.562979,0.639836,0.541475,0.809007,0.925633,300.000000,300.000000,165.758052,245.754508,175.057701,176.073746,177.035528,183.051990,177.637681,120.155804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,242.640870,0.925633,120.155804,
25.000000,0.000000,2.194008,53.017926,54.161613,108.822406,108.436908,92.679264,93.213450,91.028862,88.218890,0.000000,0.066811,0.286104,0.119457,0.283399,0.162146,0.163936,0.018063,0.084695,0.230198,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.822406,0.286104,300.000000,
26.000000,0.000000,1.390761,7.691312,8.363268,9.783838,9.267755,9.906001,11.894847,12.296960,10.326393,0.000000,0.057707,0.088637,0.022599,0.153329,0.110069,0.140164,0.029538,0.224754,0.241411,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.296960,0.241411,300.000000,
27.000000,0.000000,2.677004,78.435251,76.807651,101.321750,102.312613,101.673886,102.241610,102.894305,102.415088,0.000000,0.069733,0.396370,0.210600,0.397115,0.193585,0.446136,0.184587,0.455548,0.547893,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.894305,0.547893,300.000000,
28.000000,0.000000,28.116813,207.515733,188.952506,224.873665,237.727686,246.348311,246.648176,247.546202,247.366191,0.000000,0.232788,0.708617,0.574428,0.605623,0.496148,0.809019,0.689661,0.887054,1.007270,300.000000,300.000000,158.312512,174.875890,199.236680,300.000000,141.823944,144.083786,150.528363,98.022959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,247.546202,1.007270,98.022959,
29.000000,0.000000,47.304548,163.302075,129.993644,228.561093,245.203512,264.724965,265.360775,266.667637,266.204421,0.000000,0.317971,0.610777,0.424128,0.504037,0.600788,0.835357,0.745895,0.909286,1.035944,300.000000,300.000000,190.010320,238.146934,300.000000,203.930181,131.167037,133.553407,139.355255,90.370016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,266.667637,1.035944,90.370016,
30.000000,0.000000,56.731571,65.300834,26.402268,203.779060,211.966955,241.669377,241.860078,242.407388,242.289534,0.000000,0.356248,0.439738,0.081093,0.238538,0.651533,0.807198,0.675099,0.882888,1.006671,300.000000,300.000000,300.000000,300.000000,300.000000,173.216261,143.084386,147.213635,152.526073,98.121726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,242.407388,1.006671,98.121726,
31.000000,0.000000,38.373960,19.539666,35.686879,139.055200,138.169011,159.670644,157.984721,158.339573,160.103886,0.000000,0.279288,0.189590,0.022812,0.146925,0.563159,0.667589,0.457402,0.750229,0.867107,300.000000,300.000000,300.000000,300.000000,300.000000,235.780438,205.547650,218.215605,226.587268,143.579299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160.103886,0.867107,143.579299,
32.000000,0.000000,64.307968,129.533283,84.276762,226.873127,242.809382,276.537187,277.340448,276.779508,275.902986,0.000000,0.383385,0.566867,0.272897,0.305285,0.695094,0.880015,0.828312,0.939250,1.076473,300.000000,300.000000,239.033488,300.000000,300.000000,151.716779,113.405961,120.454486,126.442695,80.304611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,277.340448,1.076473,80.304611,
33.000000,0.000000,84.478110,155.731947,94.980831,260.946023,282.647237,326.473207,327.743050,327.363621,326.043337,0.000000,0.440953,0.581433,0.309543,0.340537,0.752095,1.047766,0.982316,0.980780,1.133678,300.000000,300.000000,198.145610,300.000000,300.000000,132.382147,95.227616,101.515100,107.227906,67.227807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,327.743050,1.133678,67.227807,
34.000000,0.000000,38.704668,79.355772,52.616048,110.115527,121.151436,140.009404,139.070129,138.424231,139.271775,0.000000,0.282136,0.427857,0.168351,0.255913,0.493827,0.577928,0.410886,0.732118,0.846635,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,223.369742,242.769088,236.111219,151.105642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140.009404,0.846635,151.105642,
35.000000,0.000000,11.768093,118.839357,110.433388,128.170272,134.719247,137.457032,141.987731,138.614356,133.419525,0.000000,0.144331,0.512994,0.204525,0.597390,0.543566,0.545686,0.399425,0.808910,0.915665,300.000000,300.000000,260.851057,300.000000,260.513183,249.579258,251.972214,248.709945,165.214120,125.189009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.987731,0.915665,125.189009,
36.000000,0.000000,16.051611,175.392020,164.218986,207.770948,215.199278,221.483878,224.031221,218.763893,215.176766,0.000000,0.175928,0.607887,0.373658,0.698864,0.707472,0.636809,0.531491,0.983084,1.130368,300.000000,300.000000,181.239192,269.474973,190.647292,183.845047,183.195697,187.341539,103.929951,74.113815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,224.031221,1.130368,74.113815,
37.000000,0.000000,0.171698,1.978622,1.859713,1.999086,2.089860,2.104007,11.454285,11.445538,2.250953,0.000000,0.000155,0.070435,0.007737,0.072058,0.007317,0.077252,0.029604,0.217053,0.109223,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.454285,0.217053,300.000000,
38.000000,0.000000,0.861480,17.431636,16.831847,17.543379,18.015327,17.805598,45.262385,47.284532,20.439985,0.000000,0.039658,0.188608,0.048031,0.194080,0.066236,0.201845,0.126999,0.443385,0.371094,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.284532,0.443385,300.000000,
