time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
2.800000,0.000000,34.136093,19.969775,22.018134,46.280509,38.751053,67.384767,66.623067,0.000000,0.230481,0.143696,0.214132,0.127171,0.326973,0.396977,0.177862,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.384767,0.396977,300.000000,
2.900000,0.000000,68.084683,39.993102,42.690565,92.721229,78.297469,135.309392,133.974759,0.000000,0.348896,0.208208,0.310178,0.192420,0.481459,0.534889,0.366002,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,246.016304,285.854117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135.309392,0.534889,246.016304,
3.000000,0.000000,104.333015,60.137913,64.041250,144.020864,122.146265,209.534461,207.350801,0.000000,0.426199,0.269548,0.400503,0.233771,0.576295,0.658107,0.564022,300.000000,294.183469,300.000000,300.000000,300.000000,263.258983,158.866197,184.969438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,209.534461,0.658107,158.866197,
3.100000,0.000000,139.503149,78.484000,83.146303,196.143485,167.342124,284.124379,281.505165,0.000000,0.484944,0.324782,0.460380,0.269905,0.663662,0.853815,0.763552,300.000000,219.858568,300.000000,300.000000,300.000000,191.908927,117.071646,136.631386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284.124379,0.853815,117.071646,
3.200000,0.000000,166.464586,91.069493,96.124318,239.178079,205.300465,344.575072,342.019375,0.000000,0.531552,0.359020,0.489858,0.294182,0.733248,1.035432,0.910927,300.000000,184.123540,300.000000,300.000000,300.000000,156.307898,96.052235,112.601017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,344.575072,1.035432,96.052235,
3.300000,0.000000,181.076680,95.140710,101.649774,267.599589,230.840517,382.335468,379.981070,0.000000,0.579773,0.373676,0.494068,0.305975,0.773657,1.145273,0.988010,300.000000,169.593410,300.000000,300.000000,300.000000,138.965135,86.923720,101.629105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,382.335468,1.145273,86.923720,
3.400000,0.000000,185.559255,94.097740,101.125386,282.546494,245.218647,400.455867,398.258923,0.000000,0.594359,0.378267,0.480810,0.305346,0.792945,1.193690,1.020047,300.000000,165.554744,300.000000,300.000000,300.000000,130.748329,82.821140,97.274248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,400.455867,1.193690,82.821140,
3.500000,0.000000,185.825192,91.266954,99.775893,290.671903,253.262886,408.698754,406.900843,0.000000,0.594926,0.377376,0.470194,0.303272,0.801119,1.214082,1.033365,300.000000,165.325682,300.000000,300.000000,300.000000,126.545181,80.971908,95.485814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,408.698754,1.214082,80.971908,
3.600000,0.000000,185.117085,88.424180,98.577710,297.936232,260.627771,415.377749,414.295503,0.000000,0.592218,0.375167,0.418669,0.300469,0.809861,1.229032,1.043485,300.000000,165.957424,300.000000,300.000000,300.000000,123.105034,79.882401,94.086806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,415.377749,1.229032,79.882401,
3.700000,0.000000,177.972545,84.805143,93.321802,294.491760,259.308427,407.960136,407.340054,0.000000,0.568036,0.369890,0.405827,0.286654,0.804875,1.205307,1.028090,300.000000,172.026381,300.000000,300.000000,300.000000,123.767706,81.409960,96.064081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,407.960136,1.205307,81.409960,
3.800000,0.000000,158.495780,75.585274,83.062205,268.510303,237.458680,369.731300,369.583281,0.000000,0.516447,0.350106,0.385465,0.264602,0.767007,1.102616,0.956391,300.000000,194.064752,300.000000,300.000000,300.000000,135.258791,89.969534,106.328968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,369.731300,1.102616,89.969534,
3.900000,0.000000,127.180387,60.827346,67.177420,219.661843,194.811874,300.874995,301.143958,0.000000,0.464248,0.312336,0.345253,0.233211,0.695094,0.906390,0.805243,300.000000,241.915738,300.000000,300.000000,300.000000,165.016440,110.732305,131.034957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.143958,0.906390,110.732305,
4.000000,0.000000,90.259233,43.581136,47.955112,158.163043,140.632947,215.889997,216.092089,0.000000,0.400213,0.283327,0.280713,0.196572,0.597383,0.667492,0.581898,300.000000,300.000000,300.000000,300.000000,300.000000,228.751084,154.542698,182.957315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.092089,0.667492,154.542698,
4.100000,0.000000,54.165065,26.403002,28.885171,95.794773,85.335916,130.505524,130.526818,0.000000,0.304550,0.218706,0.208526,0.143644,0.492352,0.527556,0.352689,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,254.921566,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.526818,0.527556,254.921566,
4.200000,0.000000,22.279233,11.095790,11.737349,39.543143,35.333596,53.914248,53.892025,0.000000,0.184235,0.133423,0.126821,0.086151,0.309691,0.349958,0.142145,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.914248,0.349958,300.000000,
4.300000,0.000000,4.775937,2.560545,2.340135,8.438870,7.622694,11.600061,11.562066,0.000000,0.079144,0.067622,0.066746,0.041205,0.125252,0.148224,0.025633,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.600061,0.148224,300.000000,
4.400000,0.000000,0.218692,0.625691,0.843791,3.797883,3.774123,3.738371,3.828885,0.000000,0.000160,0.019880,0.035998,0.049020,0.019364,0.046047,0.000821,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.828885,0.049020,300.000000,
4.500000,0.000000,0.029651,4.581798,4.611402,20.234101,20.292341,19.967761,21.942310,0.000000,0.000000,0.075566,0.078748,0.088734,0.072487,0.082077,0.017756,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.942310,0.088734,300.000000,
4.600000,0.000000,0.005913,12.373381,12.379284,52.615604,52.766900,51.956697,57.478186,0.000000,0.000000,0.126712,0.133691,0.154462,0.092355,0.154653,0.047348,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.478186,0.154653,300.000000,
4.700000,0.000000,0.016966,23.687570,23.704502,98.047032,98.415640,96.274152,107.730659,0.000000,0.000000,0.180466,0.190444,0.208566,0.134661,0.207568,0.091160,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.730659,0.208566,300.000000,
4.800000,0.000000,0.019257,35.696907,35.716118,147.022378,147.629617,143.768784,163.633622,0.000000,0.000000,0.224244,0.236588,0.234965,0.183061,0.236034,0.147039,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.633622,0.236588,300.000000,
4.900000,0.000000,0.014520,43.870520,43.884997,181.727558,182.409174,177.455879,205.844911,0.000000,0.000000,0.253318,0.267250,0.227309,0.207660,0.228348,0.184141,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,205.844911,0.267250,300.000000,
5.000000,0.000000,0.015775,49.069358,49.085070,198.262852,198.933027,193.096618,230.059733,0.000000,0.000000,0.271259,0.286142,0.189886,0.219895,0.195263,0.214235,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,230.059733,0.286142,300.000000,
5.100000,0.000000,0.007483,49.540114,49.547558,196.591174,197.264654,190.412700,234.100027,0.000000,0.000000,0.272594,0.287543,0.089605,0.220909,0.151951,0.232949,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,234.100027,0.287543,300.000000,
5.200000,0.000000,0.016984,44.967973,44.951096,177.913870,178.431981,171.979725,216.738408,0.000000,0.000000,0.256458,0.270516,0.093458,0.095178,0.138643,0.228091,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.738408,0.270516,300.000000,
5.300000,0.000000,0.016984,36.871626,36.854768,141.243388,141.808561,135.156315,174.993690,0.000000,0.000000,0.227497,0.240006,0.141655,0.145004,0.144090,0.196568,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,174.993690,0.240006,300.000000,
5.400000,0.000000,0.016984,26.248439,26.231594,98.378921,98.782062,93.812652,123.268801,0.000000,0.000000,0.188869,0.199269,0.139816,0.142873,0.132412,0.144455,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.268801,0.199269,300.000000,
