time,Robot_ImpactVel_1,Robot_ImpactVel_2,Robot_ImpactVel_3,Robot_ImpactVel_4,Robot_ImpactVel_5,Robot_ImpactVel_6,Robot_ImpactVel_7,EE_ImpactVel_0,Robot_CRI_1,Robot_CRI_2,Robot_CRI_3,Robot_CRI_4,Robot_CRI_5,Robot_CRI_6,Robot_CRI_7,EE_CRI_0,Robot_modi_velocity_percentage1,Robot_modi_velocity_percentage2,Robot_modi_velocity_percentage3,Robot_modi_velocity_percentage4,Robot_modi_velocity_percentage5,Robot_modi_velocity_percentage6,Robot_modi_velocity_percentage7,EE_modi_velocity_percentage0,Robot_PFLFlag_1,Robot_PFLFlag_2,Robot_PFLFlag_3,Robot_PFLFlag_4,Robot_PFLFlag_5,Robot_PFLFlag_6,Robot_PFLFlag_7,EE_PFLFlag_0,max_ImpactVel,max_CRI,max_modi_velocity_percentage
2.700000,0.000000,10.539135,7.730024,5.322332,13.600420,12.482341,21.097411,20.843632,0.000000,0.079443,0.057945,0.054269,0.042567,0.121102,0.138837,0.028879,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.097411,0.138837,300.000000,
2.800000,0.000000,34.136093,19.969775,22.018134,46.280509,38.751053,67.384767,66.623067,0.000000,0.153654,0.095798,0.142755,0.084781,0.217982,0.264652,0.099603,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.384767,0.264652,300.000000,
2.900000,0.000000,68.084683,39.993102,42.690565,92.721229,78.297469,135.309392,133.974759,0.000000,0.232597,0.138805,0.206785,0.128280,0.320973,0.356593,0.204961,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135.309392,0.356593,300.000000,
3.000000,0.000000,104.333015,60.137913,64.041250,144.020864,122.146265,209.534461,207.350801,0.000000,0.284133,0.179698,0.267002,0.155847,0.384197,0.438738,0.315852,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,209.534461,0.438738,300.000000,
3.100000,0.000000,139.503149,78.484000,83.146303,196.143485,167.342124,284.124379,281.505165,0.000000,0.323296,0.216521,0.306920,0.179937,0.442442,0.498246,0.427589,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,251.764149,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284.124379,0.498246,251.764149,
3.200000,0.000000,166.464586,91.069493,96.124318,239.178079,205.300465,344.575072,342.019375,0.000000,0.353286,0.239347,0.326572,0.196122,0.488832,0.579842,0.510119,300.000000,300.000000,300.000000,300.000000,300.000000,277.498804,210.042915,270.619373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.575072,0.579842,210.042915,
3.300000,0.000000,181.076680,95.140710,101.649774,267.599589,230.840517,382.335468,379.981070,0.000000,0.369290,0.249118,0.329379,0.203983,0.515772,0.641353,0.553286,300.000000,300.000000,300.000000,300.000000,300.000000,247.238867,192.111484,245.985491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,382.335468,0.641353,192.111484,
3.400000,0.000000,185.559255,94.097740,101.125386,282.546494,245.218647,400.455867,398.258923,0.000000,0.374091,0.252178,0.320540,0.203564,0.528630,0.668466,0.571227,300.000000,293.473742,300.000000,300.000000,300.000000,232.136836,186.345088,239.931631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,400.455867,0.668466,186.345088,
3.500000,0.000000,185.825192,91.266954,99.775893,290.671903,253.262886,408.698754,406.900843,0.000000,0.374349,0.251584,0.313462,0.202181,0.534079,0.679886,0.578684,300.000000,293.441685,300.000000,300.000000,300.000000,226.090832,184.798769,238.104326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,408.698754,0.679886,184.798769,
3.600000,0.000000,185.117085,88.424180,98.577710,297.936232,260.627771,415.377749,414.295503,0.000000,0.373564,0.250111,0.279113,0.200313,0.537195,0.688258,0.584352,300.000000,294.712524,300.000000,300.000000,300.000000,220.348005,184.004398,237.198875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,415.377749,0.688258,184.004398,
3.700000,0.000000,177.972545,84.805143,93.321802,294.491760,259.308427,407.960136,407.340054,0.000000,0.365816,0.246593,0.270551,0.191103,0.533958,0.674972,0.575730,300.000000,300.000000,300.000000,300.000000,300.000000,222.154883,190.217044,244.127117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,407.960136,0.674972,190.217044,
3.800000,0.000000,158.495780,75.585274,83.062205,268.510303,237.458680,369.731300,369.583281,0.000000,0.344298,0.233404,0.256977,0.176401,0.511338,0.617465,0.535579,300.000000,300.000000,300.000000,300.000000,300.000000,243.590551,211.735387,273.086121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,369.731300,0.617465,211.735387,
3.900000,0.000000,127.180387,60.827346,67.177420,219.661843,194.811874,300.874995,301.143958,0.000000,0.309499,0.208224,0.230169,0.155474,0.463396,0.507579,0.450936,300.000000,300.000000,300.000000,300.000000,300.000000,299.350519,263.449169,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.143958,0.507579,263.449169,
4.000000,0.000000,90.259233,43.581136,47.955112,158.163043,140.632947,215.889997,216.092089,0.000000,0.266809,0.188885,0.187142,0.131048,0.398256,0.444995,0.325863,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.092089,0.444995,300.000000,
4.100000,0.000000,54.165065,26.403002,28.885171,95.794773,85.335916,130.505524,130.526818,0.000000,0.203033,0.145804,0.139017,0.095762,0.328234,0.351704,0.197506,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.526818,0.351704,300.000000,
4.200000,0.000000,22.279233,11.095790,11.737349,39.543143,35.333596,53.914248,53.892025,0.000000,0.122824,0.088949,0.084547,0.057434,0.206460,0.233306,0.079601,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.914248,0.233306,300.000000,
4.300000,0.000000,4.775937,2.560545,2.340135,8.438870,7.622694,11.600061,11.562066,0.000000,0.052763,0.045081,0.044497,0.027470,0.083501,0.098816,0.014354,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.600061,0.098816,300.000000,
4.400000,0.000000,0.218692,0.625691,0.843791,3.797883,3.774123,3.738371,3.828885,0.000000,0.000107,0.013253,0.023999,0.032680,0.012909,0.030698,0.000460,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.828885,0.032680,300.000000,
4.500000,0.000000,0.029651,4.581798,4.611402,20.234101,20.292341,19.967761,21.942310,0.000000,0.000000,0.050377,0.052499,0.059156,0.048325,0.054718,0.009943,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.942310,0.059156,300.000000,
4.600000,0.000000,0.005913,12.373381,12.379284,52.615604,52.766900,51.956697,57.478186,0.000000,0.000000,0.084475,0.089127,0.102974,0.061570,0.103102,0.026515,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.478186,0.103102,300.000000,
4.700000,0.000000,0.016966,23.687570,23.704502,98.047032,98.415640,96.274152,107.730659,0.000000,0.000000,0.120311,0.126963,0.139044,0.089774,0.138378,0.051050,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.730659,0.139044,300.000000,
4.800000,0.000000,0.019257,35.696907,35.716118,147.022378,147.629617,143.768784,163.633622,0.000000,0.000000,0.149496,0.157725,0.156643,0.122041,0.157356,0.082342,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.633622,0.157725,300.000000,
4.900000,0.000000,0.014520,43.870520,43.884997,181.727558,182.409174,177.455879,205.844911,0.000000,0.000000,0.168879,0.178167,0.151539,0.138440,0.152232,0.103119,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,205.844911,0.178167,300.000000,
5.000000,0.000000,0.015775,49.069358,49.085070,198.262852,198.933027,193.096618,230.059733,0.000000,0.000000,0.180840,0.190761,0.126591,0.146597,0.130176,0.119972,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,230.059733,0.190761,300.000000,
5.100000,0.000000,0.007483,49.540114,49.547558,196.591174,197.264654,190.412700,234.100027,0.000000,0.000000,0.181729,0.191695,0.059736,0.147273,0.101300,0.130452,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,234.100027,0.191695,300.000000,
5.200000,0.000000,0.016984,44.967973,44.951096,177.913870,178.431981,171.979725,216.738408,0.000000,0.000000,0.170972,0.180344,0.062305,0.063452,0.092429,0.127731,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.738408,0.180344,300.000000,
5.300000,0.000000,0.016984,36.871626,36.854768,141.243388,141.808561,135.156315,174.993690,0.000000,0.000000,0.151665,0.160004,0.094436,0.096669,0.096060,0.110078,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,174.993690,0.160004,300.000000,
5.400000,0.000000,0.016984,26.248439,26.231594,98.378921,98.782062,93.812652,123.268801,0.000000,0.000000,0.125912,0.132846,0.093211,0.095249,0.088275,0.080895,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.268801,0.132846,300.000000,
5.500000,0.000000,0.016984,13.532219,13.515386,48.397645,48.676806,45.620457,61.001949,0.000000,0.000000,0.088963,0.093956,0.065259,0.066301,0.058552,0.038557,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.001949,0.093956,300.000000,
5.600000,0.000000,0.016984,4.883966,4.867138,19.320259,19.400098,18.354563,24.394843,0.000000,0.000000,0.051065,0.053172,0.051934,0.052458,0.043236,0.013960,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.394843,0.053172,300.000000,
5.700000,0.000000,0.250034,0.769973,0.522922,2.484962,2.433957,2.420673,3.509843,0.000000,0.000338,0.019462,0.009278,0.018067,0.010696,0.010401,0.004969,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.509843,0.019462,300.000000,
5.800000,0.000000,3.268366,3.003570,0.972134,5.710745,5.820587,8.477466,7.901968,0.000000,0.047782,0.044739,0.026004,0.050486,0.059508,0.068063,0.010739,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.477466,0.068063,300.000000,
5.900000,0.000000,17.005706,10.114310,9.328380,30.828575,29.755651,44.720274,33.647128,0.000000,0.107823,0.067259,0.080892,0.152739,0.152019,0.174694,0.041300,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.720274,0.174694,300.000000,
6.000000,0.000000,43.386270,25.964991,23.308632,78.283626,75.484642,113.731721,84.617151,0.000000,0.176860,0.118401,0.148111,0.258904,0.259596,0.298232,0.113374,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.731721,0.298232,300.000000,
6.100000,0.000000,83.424988,50.130687,43.548532,150.132568,145.018590,218.266740,164.242769,0.000000,0.257470,0.171764,0.211418,0.349308,0.342289,0.394655,0.225506,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,218.266740,0.394655,300.000000,
6.200000,0.000000,113.782786,67.071789,58.829924,204.128409,196.683672,296.658725,222.019789,0.000000,0.294632,0.207332,0.255091,0.412392,0.395079,0.456243,0.302274,300.000000,300.000000,300.000000,300.000000,295.026658,300.000000,300.000000,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.658725,0.456243,295.026658,
6.300000,0.000000,149.494558,87.316238,74.410213,266.286331,256.315405,387.333871,287.761244,0.000000,0.334247,0.241928,0.289150,0.472648,0.449008,0.523766,0.385030,300.000000,300.000000,300.000000,300.000000,227.353957,284.809506,258.966587,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,387.333871,0.523766,227.353957,
6.400000,0.000000,170.152225,97.198794,82.875893,300.805965,288.461304,437.418257,322.851849,0.000000,0.357204,0.256169,0.299567,0.502051,0.472813,0.597109,0.424814,300.000000,300.000000,300.000000,300.000000,201.079624,252.247248,219.593535,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,437.418257,0.597109,201.079624,
6.500000,0.000000,180.416856,101.935332,84.622095,315.505304,301.678935,459.029998,338.415665,0.000000,0.368438,0.263746,0.295634,0.524082,0.481260,0.636878,0.445108,300.000000,300.000000,300.000000,300.000000,191.714433,240.514571,200.376621,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,459.029998,0.636878,191.714433,
6.600000,0.000000,178.773980,99.029223,82.865163,309.996015,295.147793,450.678110,330.393712,0.000000,0.366664,0.261970,0.288052,0.517783,0.476878,0.640301,0.441288,300.000000,300.000000,300.000000,300.000000,195.416367,245.371312,197.954137,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,450.678110,0.640301,195.416367,
6.700000,0.000000,179.142176,98.325848,81.953983,307.415370,291.471595,446.803248,327.610681,0.000000,0.367075,0.262719,0.256306,0.519967,0.474460,0.645151,0.441570,300.000000,300.000000,300.000000,300.000000,196.307045,247.805292,194.485161,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,446.803248,0.645151,194.485161,
6.800000,0.000000,179.463187,97.719129,81.857654,304.506898,287.261453,442.119362,325.347365,0.000000,0.367434,0.262048,0.255104,0.521902,0.471676,0.645990,0.440948,300.000000,300.000000,300.000000,300.000000,198.058567,250.348460,193.351270,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,442.119362,0.645990,193.351270,
6.900000,0.000000,179.295862,98.162756,81.305526,300.367582,282.215117,436.196237,322.397164,0.000000,0.367263,0.262599,0.254344,0.522284,0.467849,0.635318,0.439957,300.000000,300.000000,300.000000,300.000000,201.904815,254.308166,196.234359,300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,436.196237,0.635318,196.234359,
